date,balance,count
2008-04-13,64.576802,17
2008-04-20,64.529604,18
2008-04-27,64.529604,18
2008-05-04,64.529604,18
2008-05-11,64.470731,18
2008-05-18,64.470731,18
2008-05-25,92.470731,18
2008-06-01,92.470731,18
2008-06-08,92.470731,18
2008-06-15,90.415271,18
2008-06-22,90.415271,18
2008-06-29,90.415271,18
2008-07-06,89.35062,17
2008-07-13,89.35062,17
2008-07-20,89.35062,16
2008-07-27,89.35062,16
2008-08-03,89.35062,16
2008-08-10,89.35062,16
2008-08-17,89.35062,16
2008-08-24,89.35062,17
2008-08-31,89.35062,17
2008-09-07,89.35062,17
2008-09-14,116.95062,17
2008-09-21,116.95062,16
2008-09-28,116.95062,15
2008-10-05,116.856138,15
2008-10-12,116.856138,15
2008-10-19,116.856138,15
2008-10-26,116.856138,15
2008-11-02,115.891228,15
2008-11-09,115.891228,15
2008-11-16,115.891228,15
2008-11-23,115.891228,15
2008-11-30,115.891228,15
2008-12-07,115.891228,15
2008-12-14,115.891228,15
2008-12-21,115.891228,15
2008-12-28,115.891228,15
2009-01-04,114.245525,15
2009-01-11,114.245525,15
2009-01-18,114.245525,15
2009-01-25,114.245511,15
2009-02-01,114.245496,15
2009-02-08,114.245496,15
2009-02-15,114.245492,15
2009-02-22,112.826739,15
2009-03-01,112.170554,15
2009-03-08,112.170533,15
2009-03-15,112.170523,15
2009-03-22,110.804621,15
2009-03-29,110.804621,15
2009-04-05,110.418629,15
2009-04-12,110.418629,15
2009-04-19,108.103148,15
2009-04-26,107.737698,15
2009-05-03,107.563232,15
2009-05-10,107.108993,15
2009-05-17,106.217751,15
2009-05-24,102.474752,15
2009-05-31,101.661612,15
2009-06-07,101.112606,15
2009-06-14,101.112606,15
2009-06-21,101.112496,15
2009-06-28,101.112496,15
2009-07-05,96.595246,15
2009-07-12,96.535345,15
2009-07-19,96.520688,15
2009-07-26,96.520688,15
2009-08-02,96.520652,15
2009-08-09,96.520602,15
2009-08-16,95.573396,15
2009-08-23,95.474485,15
2009-08-30,83.87522,16
2009-09-06,83.87522,17
2009-09-13,83.87522,17
2009-09-20,73.03446,19
2009-09-27,75.68446,20
2009-10-04,87.648513,20
2009-10-11,87.648513,20
2009-10-18,95.148513,20
2009-10-25,104.898513,21
2009-11-01,104.898513,21
2009-11-08,113.108513,21
2009-11-15,113.108503,21
2009-11-22,113.108503,21
2009-11-29,113.108503,21
