code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
113056.SH,重银转债,银行,601963.SH,重庆银行,128,10.76,-0.38910505836576,-1.7351598173516,1.6246575342466,149.239975,9.22,116.70281995662,9.6802973977695,-7.7352,109.70786864181,16.673490775686,AAA,115.62819,130,-0.65274252761156,-5.7793345008757,2022-04-14
113058.SH,友发转债,钢铁,601686.SH,友发集团,138.179,5.17,-0.74417268254139,-1.1472275334608,1.6438356164383,40.599567,4.48,115.40178571429,19.737315280464,-11.2338,110.77689488692,24.736300057025,AA,18.63837,20,-0.37706738186904,-0.57692307692308,2022-04-26
113059.SH,福莱转债,电力设备,601865.SH,福莱特,122.94,11.75,-0.14214352434715,10.01872659176,1.7835616438356,175.36672,41.56,28.272377285852,334.84139574468,-4.2753,110.48603696138,11.271979139748,AA,39.99851,40,0.91856083926417,16.56746031746,2022-06-13
113062.SH,常银转债,银行,601128.SH,常熟银行,130.018,6.12,0.07697162825782,-1.4492753623188,2.1068493150685,90.013178,5.25,116.57142857143,11.535049019608,-8.0117,105.7303174809,22.971351167542,AA+,59.99423,60,-0.14361967666373,-4.8211508553655,2022-10-17
113066.SH,平煤转债,煤炭,601666.SH,平煤股份,158.294,8.94,0.25904930804068,0.22421524663677,2.6054794520549,240.182502,7.46,119.83914209115,32.088729306488,-13.2533,105.31096750825,50.3110300336,AAA,14.27508,29,4.2635735504311,11.88986232791,2023-04-10
113067.SH,燃23转债,公用事业,601139.SH,深圳燃气,130.549,6.34,0.22648056873495,-1.0920436817473,2.9698630136986,72.820593,7.24,87.569060773481,49.081192429022,-5.6715,104.82608203008,24.538662012135,AAA,29.99894,30,-0.80466233055741,-3.206106870229,2023-08-18
113070.SH,渝水转债,环保,601158.SH,重庆水务,128.054,4.12,-0.61622997640632,-0.24213075060532,4.4246575342465,45.599525,4.72,87.28813559322,46.702640776699,-3.1589,103.28677883367,23.979081781816,AAA,18.99849,19,-1.063122923588,-2.3696682464455,2025-02-13
113605.SH,大参转债,医药生物,603233.SH,大参林,113.953,17.51,-0.56630774332036,-2.2333891680625,0.20821917808212,62.997064,16.86,103.85527876631,9.7228772130211,-16.6604,109.65947263279,3.9153273895291,AA,14.04522,14.05,-4.5963346533493,-7.1087533156499,2020-11-13
113610.SH,灵康转债,医药生物,603669.SH,灵康药业,123.67,6.21,0.99302595260262,5.4329371816638,0.317808219178,69.779927,6.5,95.538461538462,29.445249597423,-22.0592,112.1344758291,10.287223519445,AA-,2.52785,5.25,0.43366683991684,15.213358070501,2020-12-22
113615.SH,金诚转债,有色金属,603979.SH,金诚信,829.963,79.19,1.7347155162164,1.0076530612245,0.37808219178078,495.351435,11.12,712.14028776978,16.544873847708,-228.8006,111.36790819129,645.2443109324,AA,4.95824,10,6.1062388136026,6.6675646551724,2021-01-14
