date,implied_vol,implied_vol_smooth,implied_vol_percentile,price_median,turnover_total,parity_median,premium_median,floor_premium_median,floor_median,remaining_median,ytm_median
2018-04-26,21.92530002565791,21.68623092835269,40.78947368421053,102.805,12.8707302,88.09,17.095,22.365,83.55,5.580821917808219,1.574028313159943
2018-04-27,22.59436024733522,21.73612106159719,53.24675324675324,103.3685,13.95792791,88.78,16.535,22.975,83.55,5.578082191780822,1.459498822689056
2018-05-02,22.62890625,21.78901731374805,56.41025641025641,103.11,10.09731041,89.535,17.46,22.68,83.55,5.564383561643836,1.482572793960571
2018-05-03,21.31469372198823,21.784640963712,24.05063291139241,103.605,16.33480379,90.99000000000001,14.515,23.845,83.55,5.561643835616438,1.439324259757996
2018-05-04,22.24609375,21.83568263037866,47.5,104.0895,13.79502534,90.8,15.155,24.02,83.45,5.558904109589041,1.383808255195617
2018-05-07,22.24609375,21.88075160189842,48.14814814814815,104.77,20.25212492,93.04,14.67,25.02,83.4,5.550684931506849,1.28644585609436
2018-05-08,21.8651889999096,21.90633602689541,37.80487804878049,104.99,21.85301734,93.04,14.42,25.07,83.2,5.547945205479452,1.264252066612244
2018-05-09,21.79951419843719,21.9248591840086,36.14457831325301,104.81,14.28733898,92.28,14.18,24.87,83.1,5.545205479452055,1.228459358215332
2018-05-10,21.69618253123826,21.8937683933832,34.52380952380952,104.78,15.43676612,92.75,13.8,24.28,83.1,5.542465753424658,1.1643887758255
2018-05-11,21.99504826550216,21.91092104389994,42.35294117647059,104.895,30.35016008,92.475,14.815,24.345,83.05,5.545205479452054,1.222845375537872
2018-05-14,22.43764941956338,21.95558748288539,54.65116279069767,104.49,21.7836882,92.03,14.33,24.2,83.0,5.542465753424658,1.143684387207031
2018-05-15,22.3710671449609,21.99743938996397,52.87356321839081,104.52,15.42671982,93.11,12.68,23.88,82.9,5.53972602739726,1.157086849212646
2018-05-16,21.09765625,22.00702830228984,19.31818181818182,104.55,19.46803824,91.305,13.705,24.005,82.85,5.54109589041096,1.195130825042725
2018-05-17,21.68681098438374,22.05883908676207,33.70786516853932,104.76,17.47265019,91.43,14.19,24.49,83.0,5.538356164383561,1.224102079868317
2018-05-18,21.48046875,22.0843599200954,31.11111111111111,104.645,15.32036878,91.84,13.96,24.445,83.0,5.535616438356165,1.212408423423767
2018-05-21,19.03677902454104,22.00733193606934,1.098901098901099,105.151,25.3107859,94.125,12.6,24.43,83.0,5.527397260273973,1.166772723197937
2018-05-22,19.68466046065406,21.91450017427248,3.260869565217391,105.075,17.86149163,93.605,10.975,23.89,83.05,5.524657534246575,1.221270322799682
2018-05-23,19.18359375,21.81757150452754,2.150537634408602,104.775,18.88342673,92.42,11.505,22.955,83.19999999999999,5.521917808219178,1.320362210273742
2018-05-24,19.94921875,21.76652983786088,6.382978723404255,104.49,17.70550164,92.6,12.435,22.26,83.25,5.519178082191781,1.378797650337219
2018-05-25,20.26120125740101,21.72588758810758,10.52631578947368,103.755,14.6654153,90.8,13.485,21.765,83.4,5.516438356164384,1.555424928665161
2018-05-28,19.56640625,21.65315644364391,4.166666666666666,103.425,15.1766945,91.98,13.46,21.4,83.4,5.508219178082191,1.590128302574158
2018-05-29,19.56640625,21.58935436031057,5.154639175257731,103.35,17.52262555,90.595,13.675,20.465,83.19999999999999,5.505479452054795,1.733097195625305
2018-05-30,19.94921875,21.52420360097032,9.183673469387756,101.28,19.26740794,86.89,14.775,19.1,83.1,5.502739726027397,2.002203285694122
2018-05-31,19.56640625,21.38488956689973,6.060606060606061,101.405,14.21948068,88.485,13.08,19.335,83.1,5.5,1.930247068405151
2018-06-01,19.12550071096198,21.26537153164548,2.0,101.155,12.77547218,88.81,14.925,19.32,83.1,5.497260273972603,1.880949974060059
2018-06-04,19.0813880822254,21.14497966963183,1.98019801980198,100.735,19.871962,87.49000000000001,13.665,18.435,83.1,5.489041095890411,2.014149963855743
2018-06-05,18.41796875,20.97909425296517,0.9803921568627451,101.08,17.81264437,89.99000000000001,12.99,18.875,83.1,5.486301369863014,1.920149981975555
2018-06-06,18.896484375,20.85432668401797,1.941747572815534,101.1,14.20272454,89.81,12.525,19.42,83.1,5.483561643835616,1.905550003051758
2018-06-07,18.96232479418262,20.74204788222339,2.884615384615385,101.525,13.93096857,89.875,14.115,18.915,83.1,5.480821917808219,1.911850035190582
2018-06-08,18.9443359375,20.65256425604809,2.857142857142857,100.51,12.05878296,88.11,15.33,18.38,83.19999999999999,5.478082191780822,1.981650054454803
2018-06-11,18.91496426218344,20.55221973059894,2.830188679245283,100.43,13.38005568,87.445,15.57,18.595,83.3,5.46986301369863,1.975099980831146
2018-06-12,18.7111134975261,20.42277817227197,1.869158878504673,100.8835,13.85647605,87.92500000000001,15.155,19.0,83.35,5.467123287671233,1.922749996185303
2018-06-13,18.78183534100462,20.29454247530546,2.777777777777778,100.6005,10.28010432,86.5,15.965,18.685,83.25,5.464383561643835,2.06059992313385
2018-06-14,18.95092550508394,20.21575020140865,6.422018348623854,100.175,8.79065605,85.21000000000001,15.955,18.625,83.15,5.461643835616439,2.113199949264526
2018-06-15,21.37803219617381,20.18681481628111,37.27272727272727,99.6495,10.63880029,83.515,16.13,17.665,83.15,5.45890410958904,2.205749988555908
2018-06-19,22.23703752854566,20.18651294223263,57.65765765765766,96.27000000000001,16.52435818,77.75,21.335,14.135,83.05,5.447945205479453,2.871850013732911
2018-06-20,22.18254930063309,20.19709161892342,56.25,96.726,15.48352654,77.845,20.9,13.885,83.05,5.445205479452055,2.787999987602234
2018-06-21,22.82910234636687,20.2314112238544,75.22123893805309,96.1815,14.05647849,76.53,23.595,13.15,83.15,5.442465753424658,2.888150095939637
2018-06-22,21.72956189403678,20.23252386928102,46.49122807017544,95.999,17.55767401,78.18,22.33,13.8,83.1,5.443835616438356,2.861999988555908
